project,model,explainer,test_idx,dist_orig,dist_flip,dist_orig_norm,dist_flip_norm,delta,delta_norm,num_feats_changed
apache_cassandra,RandomForest,LIME,6553,1.9752009923548914,8.798025527789305,0.060998582310313305,0.2717025185802806,6.822824535434413,0.2107039362699673,2
apache_cassandra,RandomForest,LIME,6555,4.99997688540927,10.016577000128164,0.1544103626794363,0.30933408750542435,5.016600114718894,0.154923724825988,1
apache_cassandra,RandomForest,LIME,6556,3.654969627988919,9.246425088922473,0.11287355897324268,0.28555009036844603,5.591455460933554,0.17267653139520336,2
apache_cassandra,RandomForest,LIME,6564,2.782376651504092,2.851834666651609,0.08592595480256417,0.0880709721807883,0.0694580151475166,0.002145017378224125,1
apache_cassandra,RandomForest,LIME,6563,1.9333831204523646,10.26020947289347,0.059707153786754674,0.31685799798388237,8.326826352441106,0.25715084419712775,3
apache_cassandra,RandomForest,LIME,6580,1.1629059964782469,1.222197727864698,0.03591311335904291,0.037744173373338206,0.05929173138645116,0.001831060014295295,1
apache_cassandra,RandomForest,LIME,6529,1.9991916575476816,9.906004023433336,0.06173946719803143,0.30591934903256923,7.906812365885655,0.24417988183453782,3
apache_cassandra,RandomForest,LIME,6582,1.8526011030935658,5.076690647195646,0.05721242613416321,0.1567794535875373,3.22408954410208,0.0995670274533741,1
apache_cassandra,RandomForest,LIME,6584,2.540468576134162,2.431370152515685,0.07845529753573606,0.07508609652845881,-0.1090984236184771,-0.0033692010072772405,1
apache_cassandra,RandomForest,LIME,6585,2.046420431691533,8.75737181448043,0.06319799636958387,0.2704470418530567,6.710951382788897,0.20724904548347278,2
apache_cassandra,RandomForest,LIME,6586,1.6842647353934048,9.615156984240992,0.052013826183717006,0.29693734814832834,7.930892248847587,0.24492352196461134,2
apache_cassandra,RandomForest,LIME,6587,1.2370232013767726,0.9100119223161808,0.038202016838289825,0.028103184112210296,-0.3270112790605918,-0.010098832726079532,1
apache_cassandra,RandomForest,LIME,6590,2.7147706272580128,2.7062494232157333,0.08383813100609527,0.08357497734823069,-0.008521204042279518,-0.000263153657864592,1
apache_cassandra,RandomForest,LIME,6593,5.44847267684663,5.335600146349582,0.16826090627257437,0.16477515248410093,-0.11287253049704837,-0.0034857537884734366,1
apache_cassandra,RandomForest,LIME,6594,1.9349384598130321,8.742216675368827,0.059755186111758236,0.26997901758408277,6.807278215555795,0.2102238314723245,3
apache_cassandra,RandomForest,LIME,6596,1.1466002275492506,0.7877658301229157,0.03540955509231558,0.024327953973289206,-0.35883439742633494,-0.011081601119026374,1
apache_cassandra,RandomForest,LIME,6569,8.32500282492126,12.43060708205437,0.257094529627651,0.38388468424058975,4.105604257133111,0.12679015461293877,3
apache_cassandra,RandomForest,LIME,6533,3.624066041071504,9.802157905984552,0.11191918774845991,0.30271235087525566,6.178091864913048,0.19079316312679573,3
apache_cassandra,RandomForest,LIME,6608,3.0984269134429505,9.077081231300552,0.09568628703796317,0.2803203768973216,5.978654317857601,0.18463408985935842,2
apache_cassandra,RandomForest,LIME,6610,2.525550186728451,2.6961250254545805,0.07799458462215218,0.0832623135167693,0.17057483872612966,0.005267728894617104,1
apache_cassandra,RandomForest,LIME,6530,4.931370915168359,10.832260628603143,0.15229165833546485,0.3345242049381753,5.9008897134347835,0.1822325466027105,3
apache_cassandra,RandomForest,LIME,6612,1.1901059107726588,1.6149867803258768,0.03675310696847455,0.049874369459650354,0.424880869553218,0.013121262491175803,2
apache_cassandra,RandomForest,LIME,6619,4.796302356982572,9.965815865837609,0.14812044204106217,0.3077664712272978,5.169513508855037,0.1596460291862356,2
apache_cassandra,RandomForest,LIME,6546,3.2087476297884794,10.297085535409693,0.0990932351523991,0.3179968124859925,7.088337905621213,0.2189035773335934,4
apache_cassandra,RandomForest,LIME,6545,4.718291814353817,11.025099160167878,0.1457113036677875,0.3404794859884483,6.306807345814061,0.1947681823206608,4
apache_cassandra,RandomForest,LIME,6632,5.372598740716325,5.442512965231153,0.16591775104120016,0.1680768571753283,0.06991422451482787,0.0021591061341281487,1
apache_cassandra,RandomForest,LIME,6637,1.3263750460972126,1.5946484154583376,0.0409613997445631,0.049246275696923615,0.268273369361125,0.008284875952360516,1
apache_cassandra,RandomForest,LIME,6638,2.099841465293477,8.887716988343975,0.06484775623092597,0.2744723895758665,6.787875523050498,0.20962463334494053,2
apache_cassandra,RandomForest,LIME,6639,1.69858707351053,10.291540809191776,0.052456131713075824,0.31782557905714104,8.592953735681245,0.2653694473440652,3
apache_cassandra,RandomForest,LIME,6559,3.7313465323774277,10.509129507277667,0.11523224697865671,0.32454520007867677,6.777782974900239,0.20931295310002004,4
apache_cassandra,RandomForest,LIME,6643,4.8269822800004025,11.470641111837747,0.1490679060291427,0.35423880846591954,6.643658831837344,0.20517090243677683,3
apache_cassandra,RandomForest,LIME,6644,2.072110868243368,8.841395224636575,0.06399137396237592,0.27304187089589355,6.769284356393206,0.20905049693351765,1
apache_cassandra,RandomForest,LIME,6642,2.9777028200882922,10.447704148953457,0.09195805959486508,0.32264824893791577,7.470001328865165,0.23069018934305072,4
